words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
#,1,filter_Inf_1.2_frm01_s14.wav,Spectral,1.2,We saw eight tiny icicles below our roof,40,Spectral_1.2,9,0.0,0,S 1.2,forestgreen
I wouldn't say I'm counting on it but it could happen,7,2_33.wav,Anchor_fullyIntelligible,0,I wouldn't say I'm counting on it but it could happen,43,Anchor_fullyIntelligible_0,9,18.867924528301888,100,Full,coral
The same will happen in other countries,6,2_38.wav,Anchor_fullyIntelligible,0,The same will happen in other countries,46,Anchor_fullyIntelligible_0,9,17.94871794871795,100,Full,coral
#,1,filter_Inf_1.2_frm01_s29.wav,Spectral,1.2,Brush fires are common in the dry underbrush of Nevada,49,Spectral_1.2,9,0.0,0,S 1.2,forestgreen
quick escape,2,filter_Inf_1.2_frm01_s07.wav,Spectral,1.2,Tina got cued to make a quicker escape,52,Spectral_1.2,9,2.631578947368421,48,S 1.2,forestgreen
twenty four hours,2,filter_23_Inf_frm01_s19.wav,Temporal,23,Cory and Trish played tag with beach balls for hours,55,Temporal_23,9,1.9230769230769231,38,T 23,royalblue
Another one bites the dust,7,6_22.wav,Anchor_fullyIntelligible,0,Another bites the dust,58,Anchor_fullyIntelligible_0,9,18.181818181818183,92,Full,coral
#,1,filter_23_Inf_frm01_s04.wav,Temporal,23,A fifth wheel caught speeding,61,Temporal_23,9,0.0,0,T 23,royalblue
there was ,2,filter_23_Inf_frm01_s09.wav,Temporal,23,Here I was in Miami and Illinois,64,Temporal_23,9,3.125,39,T 23,royalblue
big brother,2,filter_20_Inf_frm01_s20.wav,Temporal,20,The frightened child was gently subdued by his big brother,67,Temporal_20,9,3.4482758620689653,32,T 20,cornflowerblue
ability to work without supervision is noteworthy,3,filter_20_Inf_frm01_s22.wav,Temporal,20,Alice's ability to work without supervision is noteworthy,70,Temporal_20,9,12.280701754385964,92,T 20,cornflowerblue
If love is something you cherish,7,6_23.wav,Anchor_fullyIntelligible,0,If love is something you cherish,73,Anchor_fullyIntelligible_0,9,18.75,100,Full,coral
judges,2,filter_Inf_1.5_frm01_s08.wav,Spectral,1.5,Joe books very few judges,76,Spectral_1.5,9,4.0,39,S 1.5,darkgreen
#,1,filter_4_Inf_2_53.wav,Anchor_Temporal_unIntelligible,4,I may need to do something like that,79,Anchor_Temporal_unIntelligible_4,9,0.0,0,T 4,lightsteelblue
#,1,filter_Inf_0.4_1_1.wav,Anchor_Spectral_unIntelligible,0.4,"she called her brother, Randy",82,Anchor_Spectral_unIntelligible_0.4,9,0.0,0,S 0.4,limegreen
#,1,filter_Inf_0.4_2_54.wav,Anchor_Spectral_unIntelligible,0.4,And that was not right,85,Anchor_Spectral_unIntelligible_0.4,9,0.0,0,S 0.4,limegreen
sometimes connection,2,filter_Inf_1.5_frm01_s17.wav,Spectral,1.5,The sermon emphasized the need for afirmative action,88,Spectral_1.5,9,0.0,36,S 1.5,darkgreen
#,1,filter_Inf_1.5_frm01_s12.wav,Spectral,1.5,A boring novel is a superb sleeping pill,91,Spectral_1.5,9,0.0,0,S 1.5,darkgreen
right thing to do,2,filter_Inf_0.4_1_73.wav,Anchor_Spectral_unIntelligible,0.4,This is the right thing to do,94,Anchor_Spectral_unIntelligible_0.4,9,13.793103448275861,74,S 0.4,limegreen
don't annoyed like that,2,filter_Inf_1.5_frm01_s11.wav,Spectral,1.5,Don't ask me to carry an oily rag like that,97,Spectral_1.5,9,6.976744186046512,58,S 1.5,darkgreen
#,1,filter_20_Inf_frm01_s01.wav,Temporal,20,If it doesn't matter who wins why do we keep score,100,Temporal_20,9,0.0,0,T 20,cornflowerblue
#,1,filter_23_Inf_frm01_s21.wav,Temporal,23,The tooth fairy forgot to come when Roger's tooth fell out,103,Temporal_23,9,0.0,0,T 23,royalblue
everyone's an influencer she says,7,1_74.wav,Anchor_fullyIntelligible,0,Everyone's an influencer shes says,106,Anchor_fullyIntelligible_0,9,11.76470588235294,99,Full,coral
#,1,filter_4_Inf_2_45.wav,Anchor_Temporal_unIntelligible,4,I do like parties though,109,Anchor_Temporal_unIntelligible_4,9,0.0,0,T 4,lightsteelblue
well she doesn't actually,2,filter_20_Inf_frm01_s31.wav,Temporal,20,Was she just naturally sloppy about everything but her physical appearance,112,Temporal_20,9,1.3513513513513513,34,T 20,cornflowerblue
it seemed like it'd be wise to act while the window is still open,7,2_22.wav,Anchor_fullyIntelligible,0,It seems like we would be wiser to act while the window is open,115,Anchor_fullyIntelligible_0,9,15.873015873015872,83,Full,coral
